2020-08-19 12:08:47 INFO  Browser :82 - URL has been opened: http://computer-database.herokuapp.com/computers
2020-08-19 12:08:842 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:178 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:198 INFO  AddComputerPage :130 - Found: ASUS ROG 1 in Computer Name search results
2020-08-19 12:08:521 INFO  AddComputerPage :132 - Clicked on Computer Name: ASUS ROG 1
2020-08-19 12:08:535 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .btn.danger]
2020-08-19 12:08:562 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .btn.danger]
2020-08-19 12:08:199 INFO  BaseClass :65 - Clicked on element: Proxy element for: DefaultElementLocator 'By.cssSelector: .btn.danger'
2020-08-19 12:08:207 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:238 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:245 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:271 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:272 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:594 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:621 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:728 INFO  BaseClass :81 - Entered text: ASUS ROG 2 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:735 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:763 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:115 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:137 INFO  AddComputerPage :130 - Found: ASUS ROG 2 in Computer Name search results
2020-08-19 12:08:469 INFO  AddComputerPage :132 - Clicked on Computer Name: ASUS ROG 2
2020-08-19 12:08:478 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .btn.danger]
2020-08-19 12:08:507 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .btn.danger]
2020-08-19 12:08:198 INFO  BaseClass :65 - Clicked on element: Proxy element for: DefaultElementLocator 'By.cssSelector: .btn.danger'
2020-08-19 12:08:209 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:237 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:244 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:266 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:267 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:595 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:622 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:725 INFO  BaseClass :81 - Entered text: ASUS ROG 3 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:733 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:766 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:109 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:129 INFO  AddComputerPage :130 - Found: ASUS ROG 3 in Computer Name search results
2020-08-19 12:08:452 INFO  AddComputerPage :132 - Clicked on Computer Name: ASUS ROG 3
2020-08-19 12:08:462 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .btn.danger]
2020-08-19 12:08:492 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .btn.danger]
2020-08-19 12:08:182 INFO  BaseClass :65 - Clicked on element: Proxy element for: DefaultElementLocator 'By.cssSelector: .btn.danger'
2020-08-19 12:08:191 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:219 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:226 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:252 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:252 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:686 INFO  BaseClass :175 - Browser has been closed!!
